S.no#,name,price,desc,quantity,Category
1,iphone 19 pro max,2500$,"storage:800gb, camera: 900 mega pixels",200,Electronics
2,Type c splitter,25$,type c to hdmi and usb 3.0,600,Electronics
3,Skechers Men's Sneaker,200$,,,Fashion
4,Summer Blouses for Women 2023,20$,,,Fashion
5,Women's Basic Tees,30$,,,Fashion
6,Alternative Men's Hoodie,40$,,,Fashion
7,TRETORN Women's Fashion Sneaker,300$,,,Fashion
8,Women Fashion Block Heel Sandals,23$,,,Fashion
9,Wrangler Women's Stretch Denim Jacket,45$,,,Fashion
10,CERTO Women's Cropped Full Zip Hoodie,50$,,,Fashion
11,"Rockland Fashion Luggage Set, Blue, 2-Piece",90$,,,Fashion
12,Nike Women's WMNS Air Max,80$,,,Fashion
13,Karl Lagerfeld Paris Women's Fashion Sport Short,3$,,,Fashion
14,Acorn Unisex Versafit Fleece Socks,4$,,,Fashion
15,Texas Tech Red Raiders Black Sports Elite Style Sunglasses,23$,,,Fashion
16,Tommy Hilfiger Women's Denim Jean Shorts,20$,,,Fashion
17,Amazon Essentials Women's Classic-Fit Short-Sleeve V-Neck T-Shirt,32$,,,Fashion
18,Scrub Brush Cleaner for Grout/Tile/Bathroom/Shower/Bathtub,23$,,,Fashion
19,Wrangler Women's Ultimate Riding Jean,30$,,,Fashion
20,Timberland Casual Leather Belt for Jeans,32$,,,Fashion
21,Lacoste Men's Iconic Fashion 3 Pack Cotton Stretch Boxer Briefs,30$,,,Fashion
22,Helly-Hansen Men's Crew Jacket,40$,,,Fashion
23,iPhone 14promax 256gb,450$,,,Electronics
24,Dawlance refrigerator big size,12$,,,Electronics
25,Bean Information Technology Fusion Smart Watch,40$,,,Electronics
26,Auto Tracking Meeting Webcam for Huddle Room & Discussion Room,45$,,,Electronics
27,AIWA Portable Boombox - Waterproof Bluetooth Speaker,4$,,,Electronics
28,Simul-Focal Stereo Lockable Zoom Microscope,20$,,,Electronics
29,Nintendo Switch – OLED Model w/ White Joy-Con,200$,,,Electronics
30,Apple 2023 MacBook Pro Laptop M2 Pro chip with 12‑core CPU 1TB,23$,,,Electronics
31,Apple AirPods (2nd Generation) Wireless Earbuds,4$,,,Electronics
32,Amazon Basics Electronics Repair Screwdriver Set,3$,,,Electronics
33,Soulaca 65 inches Electronic Interactive Smart,20$,,,Electronics
34,Casio PX-770 BK Privia Digital Home Piano,12$,,,Electronics
35,Exercise Machine for Arms and Legs Fitness,30$,,,Electronics
36,lipsch Reference 5.2 Home Theater System Channel Speaker,500$,,,Electronics
37,WiFi Smart Scene Wall,34$,,,Electronics
38,BDK PolyPro Car Seat Covers,45$,,,Car Accessories
39,Multicolor Music Car Strip Light Under Dash,4$,,,Car Accessories
40,ankee Candle Car Air Fresheners,40$,,,Car Accessories
41,Armor All Car Cleaning Wipes,42$,,,Car Accessories
42,Magnetic Stretch to Fit™ Sun Shade,40$,,,Car Accessories
43,Aqua Garden Tabletop Desktop Fountain Kit with Waterfall,42$,,,home decoration items
44,Greenco 5-Tier Corner Shelves,25$,,,home decoration items
45,Devyom Wooden Temple White LED Light for Home,30$,,,home decoration items
46,Space Corgi Tapestry Wall Hanging Décor,20$,,,home decoration items
47,Wall Calendar,23$,,,home decoration items
48,"HMGGDD Home Desk Clock, Desk Clock",32$,,,home decoration items
49,Washroom mate,3$,,,home decoration items
50,table lamp panasonic,20$,,,home decoration items